,X1,X2,X3,X4,class
30750,0.0,0.0,0.0136448663264917,0.6236653426687297,1.0
30751,0.0,1.0,0.8312325337556885,0.1062228019533808,1.0
30752,1.0,0.0,0.9788379193868058,0.5292033225610703,0.0
30753,0.0,1.0,0.4752335983758916,0.7380533109155236,1.0
30754,1.0,1.0,0.3914919413299862,0.7253068510955524,0.0
30755,0.0,1.0,0.0358572027037749,0.7884537720661745,0.0
30756,1.0,1.0,0.5451137954874536,0.651753451286361,1.0
30757,0.0,0.0,0.9165439897681836,0.7282438823825226,1.0
30758,1.0,0.0,0.2088723077683824,0.2143952227481717,0.0
30759,0.0,0.0,0.7442518976693459,0.0241319462222808,1.0
30760,0.0,1.0,0.1641492386668656,0.5899065874977167,0.0
30761,0.0,1.0,0.1794859955920579,0.8415412015297906,0.0
30762,0.0,0.0,0.6337300535331885,0.2041659749732017,1.0
30763,1.0,1.0,0.3550328750236938,0.359359130661214,0.0
30764,0.0,0.0,0.746635012595147,0.3765485898367938,1.0
30765,0.0,1.0,0.4702916818092955,0.052907350486556,0.0
30766,0.0,0.0,0.929188347209697,0.6830323092482564,1.0
30767,0.0,1.0,0.5681453167608974,0.1615681422303607,0.0
30768,0.0,0.0,0.6978936433269608,0.7558533697368267,1.0
30769,1.0,1.0,0.97652478130307,0.6199590513648892,0.0
30770,0.0,1.0,0.2268370084296793,0.0825269979347803,1.0
30771,0.0,0.0,0.7890369641178203,0.4472402854479143,0.0
30772,1.0,0.0,0.5007079907651223,0.2762399282359682,1.0
30773,1.0,1.0,0.706141419555617,0.3133365421367619,1.0
30774,0.0,1.0,0.8525978738279468,0.1572470806496237,0.0
30775,0.0,0.0,0.3002852524221768,0.8891583646011296,1.0
30776,0.0,1.0,0.662149133354964,0.5839492411209143,0.0
30777,1.0,1.0,0.6474162774382365,0.0543063438553925,0.0
30778,0.0,1.0,0.2199462961735208,0.7779512701601402,1.0
30779,1.0,0.0,0.8636832849765016,0.751634190945494,0.0
30780,0.0,0.0,0.4449555039075008,0.0621298255942075,1.0
30781,1.0,0.0,0.6734446725036635,0.3586400324715123,1.0
30782,1.0,0.0,0.2572448526610783,0.7852966128708105,0.0
30783,1.0,1.0,0.3456627416644139,0.939527686792916,0.0
30784,1.0,0.0,0.6254843688596169,0.6074206418698234,1.0
30785,1.0,1.0,0.8671025641269984,0.5081226691145461,0.0
30786,0.0,1.0,0.835541113089111,0.9554982005606332,1.0
30787,0.0,1.0,0.0405140487283091,0.4273644874557202,0.0
